pub_date,city,address,title,owner,contractor,engineer,cert_url
"
  2011-04-29
",City of Toronto,299 Queen Street West ,3rd Floor Interior Renovation,Mr. David Nicholson,Dalton Engineering & Construction Limited,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/94D8CA2E-7B26-4E06-B71B-70726EA4A43B
"
  2011-04-29
","Ottawa, Ontario","623 Chemin Smyth, Ottawa, Ontario K1G 1N7 ",Ecole Franco Cite - Nouveau Terrain de Soccer et Football,Conseil des ecoles catholiques du CentreEst,Taplen Construction Inc.,Edward J. Cuhaci and Associates Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/A3CDC96D-C2AB-4BFF-80AD-06768957926A
"
  2011-04-29
",City of Mississauga,55 Glenn Hawthorn Blvd. ,Lobby Renovation,FCCP Non-Profit Housing Corporation,The Byng Group / 1017834 Ontario Ltd.,David Sin Architect,https://canada.constructconnect.com/dcn/certificates-and-notices/53A90223-F149-4342-A229-EFAA56052BF5
"
  2011-04-29
","Kitchener,  Ontario","21 & 41 Pioneer Drive, Kitchener, Ontario c/o Destaron Property Management Inc., 510 Maple Avenue, Suite 705, Burlington, Ontario L5N 1H2 ",Building Roof Replacement,Destaron Property Management Inc.,Brook Restoration Ltd.,Ontech Building Consultants Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/6128280C-0141-4FAD-835C-909CF29C963E
"
  2011-04-29
",City of Toronto,"East York District, Various Locations in Toronto ","Water and Sewer Service Connections and Associated Works Toronto - East York District RFQ#TE092-2010, 76 Davenport Rd.",City of Toronto,Rabcon Contractors Ltd.,"Frank Trinchini, P. Eng.",https://canada.constructconnect.com/dcn/certificates-and-notices/BDB9D9CB-191E-4CD0-A936-4B83C51DFA7C
"
  2011-04-29
",City of Toronto,"10 Ancroft Place, Toronto, ON M4W 1M4 ",Renovation of the Interior of Unit 10,Ancroft Place Inc.,Formstructures Ancroft Place Inc.,L.M. Real Estate Consulting,https://canada.constructconnect.com/dcn/certificates-and-notices/DA1E636A-65D7-4DAB-A5F8-D626E941065B
"
  2011-04-29
",Haliburton County,Municipality of Dysart et al ,Construction of a single-family residence,Richard Anderson and Gloria Gray,Ronald S. Sisson Builder (Shane Sisson),nan,https://canada.constructconnect.com/dcn/certificates-and-notices/87C62A6A-8F96-45FE-AD55-954B1BBF7FFF
"
  2011-04-29
",Lambton County,"105 Christina Street, Sarnia, Ontario ",Proj.#: PW 135500 - New Stair # 4,SNC Lavalin O & M Inc.,"Bill Hoekstra, General Contracting",Marsh Katsios Architect,https://canada.constructconnect.com/dcn/certificates-and-notices/B59E4C73-1FB7-499E-8418-A32DDA2A55D1
"
  2011-04-29
","720 King Street West, 8th Floor, Toronto, ON  M5V 2T3", ,Interior Alterations,Bell Canada Virgin Mobile,Cesaroni & Son Ltd.,Bender & Kid Interiors Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/2B7F2258-2B3C-4A74-A0FB-B1B7912C5126
"
  2011-04-29
",City of Ottawa,"West Carleton Secondary School, 3088 Dunrobin Road, Dunrobin, Ontario K0A 1T0 ",West Carleton SS Design Tech Classrooms,Ottawa-Carleton District School Board,Enstone Construction Inc.,Popovic Routhier Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/D78F06B0-3D8E-4A1B-882E-60FEBE0BBE5C
"
  2011-04-29
",City of Toronto,299 Queen Street West ,Emergency Exit Stair Addition,Mr. David Nicholson,Dalton Engineering & Construction Limited,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/D887EC8E-B56B-4965-B85D-840F0B24B3A9
"
  2011-04-29
",Northumberland County,"64 Ward Street, Port Hope,  Ontario ",conversion to multiple residential units,TVM Port Hope Inc.,TVM Construction Management Inc.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/99A5F69A-ED92-4DDD-AE38-F3184CC53ECA
"
  2011-04-29
",Hamilton-Wentworth Region,City of Hamilton ,Canadian Tire Store #177 Exterior Improvements,Canadian Tire Real Estate Limited,Norlon Builders London Limited,Turner Fleischer Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/3E5F3958-ABE6-46F1-93D0-E0920F918FE9
"
  2011-04-29
",City of Toronto,"130 Bellamy Road North, Toronto, Ontario ",Make-Up Air Units FA-1 & FA-2 Replacement Work,Bellamy Housing Co-operative Inc.,P.C. Control Systems Ltd.,CMS Building Consultants Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/7FEB6FE4-2D24-4F30-A521-C26A8E9352FF
"
  2011-04-29
",City of Ottawa,"Jack Donohue Public School, 101 Penrith Street, Ottawa, Ontario K2W 1H4 ",Jack Donohue PS Design Tech Classrooms,Ottawa-Carleton District School Board,Enstone Construction Inc.,Popovic Routhier Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/67401ED8-7FDD-4186-91EB-D5A16E5C3680
"
  2011-04-29
",City of  Quinte West (Trenton),"80 Carrying Place Road, Trenton ",Production Rooms Expansion & Renovation at Canada Blast Freezers,2022221 Ontario Ltd. (Canada Blast Freezers),Canada Blast Freezers Acting as General Contractor,C P Peter Yee P.Eng.,https://canada.constructconnect.com/dcn/certificates-and-notices/DDBC603E-987A-41FE-B43B-BA50B6EA7368
"
  2011-04-29
",Town of Kirkland Lake, ,"Project No. R444-08 Recycled Asphalt Crushing Location: to stockpile at Public Works Department Yard, Dunfield Road",Corporation of the Town of Kirkland Lake,Teck Northern Roads Limited,Owner,https://canada.constructconnect.com/dcn/certificates-and-notices/CDD4DC7E-8397-46C4-AA60-024F046A4BE9
"
  2011-04-29
",Municipality of Chatham-Kent,"1001 Grand Ave. West, Chatham, Ontario N7M 5W4 ",Addition of Trades and Technology Centre to existing College Academic Facility,The St. Clair College of Applied Arts and Technology,1603878 Ontario Limited o/a Loaring Construction,Architecttura Inc. Architects,https://canada.constructconnect.com/dcn/certificates-and-notices/E3E26F14-2B8C-4C0A-B365-B9827C11D5C7
"
  2011-04-29
",York  Region,Town of Richmond Hill ,"TW-69-10: For the supply and operation of front end loaders (including operators) for the snowplowing of widebends, cul-de-sacs and other related snow removal services on designated roadways within the Town of Richmond Hill for the 2010/2011 winter season",The Town of Richmond Hill,Todd Brothers Contracting Ltd.,"Anthony Incitto, Roads Technician",https://canada.constructconnect.com/dcn/certificates-and-notices/F1D66AF3-AAF2-49DE-946E-351F861E2C90
"
  2011-04-29
",City of Toronto,2075 Bayview Avenue ,T1 Pharmacy Renovation/Expansion,Sunnybrook Health Sciences Centre,Von Construction,HDR Architecture Associates Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/D5A19064-8919-49CB-AD0B-68B6604C437A
"
  2011-04-29
","AMENDMENT to Ad Ran April 15, 2011 issue",Should read as follows: ,,nan,nan,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/B186CD03-6665-444C-9311-5217154C3EE1
"
  2011-04-29
",City of Toronto,"Stanley Park Outdoor Pool, 845 King Street West, Toronto,  Ontario ",Contract # P.O. # 438189 & 438190 - For New Vestibule and Related Site Work at Stanley Park ODP,City of Toronto,Trans-Canada Construction,Peter T. Mitches & Associates Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/18EB624D-EAF7-4159-8055-EB3EF38EC90B
"
  2011-04-29
",Town of Kirkland Lake, ,"Project No. R454-10 Stockpiled Screened Sand for Winter Sanding Location: To stockpile at Public Works Department Yard, Dunfield Road",Corporation of the Town of Kirkland Lake,Teck Northern Roads Limited,Owner,https://canada.constructconnect.com/dcn/certificates-and-notices/8C07BCD7-F742-4588-839D-74E37CD135B2
"
  2011-04-29
",City of Ottawa,"585 Montreal Road,  Ottawa, Ontario ",Interior Renovation,CB Richard Ellis Limited as authorized agent for Royal Bank of Canada,Robert Construction,DIALOG Ontario Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/FDA23CB0-DE41-40CC-843E-ED8F7BB446D6
"
  2011-04-29
",Mississauga,"1925 Fowler Dr.,  Unit 3/4 ",Interior Leasehold Improvements,AkzoNobel Canada Inc.,GenPro Contractors,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/C46A26B3-53EB-43B0-A0D3-4EB519FFAE0B
"
  2011-04-29
",City of Ottawa,"6525 Bank Street, Ottawa, ON ",Truss Fabrication Plant,9172-8287 Quebec Inc./Superior Roof Truss Inc.,BBS Construction (ONTARIO) Ltd.,Cleland Jardine Engineering Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/C1ACB1F9-316D-4D01-8B0B-D277B65A878D
"
  2011-04-29
",Peel Region,City of Brampton ,Residential Underground Electrical Distribution and Street Lighting Systems,Mattamy (Bramview) Limited,Kile Contr. Inc.,Colm Engineering Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/8D668060-A447-4655-B8A7-93613A97171F
"
  2011-04-29
","Kitchener,  Ontario","21 & 41 Pioneer Drive, Kitchener, Ontario c/o Destaron Property Management Inc., 510 Maple Avenue, Suite 705, Burlington, Ontario L5N 1H2 ",Restoration of Parking Garage Ramp,Destaron Property Management Inc.,Brook Restoration Ltd.,Ontech Building Consultants Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/4F2B7194-6F33-4A44-9C5B-C8B07C6F1EBB
"
  2011-04-29
","Fort Frances,  Ontario",District Jail ,Project No.: H1001729 Backup Generator Installation,Ontario Realty Corporation and Her Majesty the Queen in Right of Ontario,Superior Electric,Profor Engineering Services Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/4FE2D2C2-5CF1-4538-97A7-1767F79FCB59
"
  2011-04-29
",Town of Kirkland Lake, ,"Project No. R448-09 Stockpiled Screened Sand for Winter Sanding Location: To stockpile at Public Works Department Yard, Dunfield Road",Corporation of the Town of Kirkland Lake,Teck Northern Roads Limited,Owner,https://canada.constructconnect.com/dcn/certificates-and-notices/F9A55533-18D4-4ED9-A89D-B56B0FD1D0F7
"
  2011-04-29
",Ottawa-Carleton Region,"90 George Street, 3rd  Floor,  Ottawa ","The Supply and Installation of Interior Partitioning, Doors, Mechanical & Electrical Systems including Base Building modifications, Custom Millwork and applied Floor and Wall finishes",Canril Corporation,Govan Brown Construction Managers,Callaghan Letellier Wiens Gibbons Facility Planning & Design Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/61771224-7DF2-4640-9887-BDA898B096CB
"
  2011-04-29
",City of Mississauga, ,"Interior Fit-Out of Shoppers Home Health Care - SHHC 493 1077 North Service Road, Mississaauga, ON",Shoppers Drug Mart,Fluid Construction,K. Paul Architect Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/6B5C20F4-1CFA-4DB3-894B-941DE7A839CF
"
  2011-04-28
",City of Toronto,"740 York Mills Road, Toronto ",Painting Concrete,LYM Rentals L.P. c/o Minto Management Limited,Maresco Limited,Halsall Associates Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/F8A2FDFF-567A-42F4-A37A-6691D2034B01
"
  2011-04-28
",City of Toronto,"Casa Loma, 1 Austin Terrace, Toronto, ON  M5R 1Y8 ",Casa Loma Phase VI Structural Repairs North East Restoration,City of Toronto,Clifford Restoration Ltd.,Taylor/Hazell Architects Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/F4AA40F8-2127-4A89-8944-4D2A89A31954
"
  2011-04-28
",Greater Toronto Area,"Ajax GO Station - 100 Westney  Rd. S., Ajax and Unionville GO Station - 7970 Kennedy Rd., Markham ","Shelter Upgrades - East Region, Ajax and Unionville GO Stations Contract No. IT-2010-SI-057",MetroLinx,Dineen Construction Corporation,Halsall Associates Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/758B9EFA-D424-402C-AFA7-3E85805C1CDF
"
  2011-04-28
",City of Oshawa,"540 Laval Drive, Oshawa,  ON ",Tenant Interior Improvement,"Brookfield LePage Johnson Controls, on behalf of CIBC",Corporate Contracting Services Ltd.,HOK Canada Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/FAC13047-6023-44E7-8D0B-A09719A1F4D4
"
  2011-04-28
","Town of Newmarket, ON","17310 Yonge Street, Newmarket, ON L3Y 7R8 ","T-10-28 Renovations to the Gates of York Plaza, Units 5 & 9 Newmarket",The Regional Municipality of York,Samson Management and Solutions Ltd.,L.E. Glazer Architect Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/2A661096-1E6D-4F2F-8A2B-9D056E222270
"
  2011-04-28
",City of Toronto,"740 York Mills Road, Toronto ",Balcony Repairs and Railing Replacement,LYM Rentals L.P. c/o Minto Management Limited,Maresco Limited,Halsall Associates Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/9A4975FB-22F4-49E9-99E3-B4F8AB05C7AA
"
  2011-04-28
",City of Toronto,3105 Don Mills Road ,"Boiler, Pump and Control Replacement Our Lady of Guadalupe Catholic School",Toronto Catholic District School Board,The State Group Inc.,Sab Engineering Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/A535E346-8DD8-4C4B-BA3E-CE4253588955
"
  2011-04-28
",Niagara Region, ,Contract No. RN08-07 Seaway WWTP Upgrades in the City of Port of Colborne,The Regional Municipality of Niagara,SONA Construction Limited,Hatch Mott MacDonald,https://canada.constructconnect.com/dcn/certificates-and-notices/8C898430-A477-4209-8624-0D6673CDEB6F
"
  2011-04-28
",City of Nepean,"3358, 3356, 3360, 3362 Carling Ave and 100, 110, 120, 130, 140, 150 Canamara Pvt. City of Nepean ",10 new duplex townshouses,2210583 Ontario Inc.,BKM Developments,"Arthur Firth, F.D.P.S. Inc.",https://canada.constructconnect.com/dcn/certificates-and-notices/AB490729-EDAF-42FD-828F-ABFB0F9EA06C
"
  2011-04-28
",Waterloo Region,"180 Sportsworld Drive, Kitchener, Ontario ",Recoating of Freeport Water Tank,Region of Waterloo,MacDonald Applicators,Schorn Consultants Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/19331570-B7AB-4C71-8EB1-B4666559A4AB
"
  2011-04-28
",Municipality of Chatham-Kent,"Base Line, Chatham Twp (Gore),   Ontario ","Base Line Bridge over the Little Bear Creek East, Bridge ID; 4713726N17410945E",Municipality of Chatham-Kent,SLR Contracting Group Inc.,Dillon Consulting Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/56200212-9EAE-4EA2-8D63-242AB2EF9301
"
  2011-04-28
",City of Toronto,"17 Farmstead Road, Toronto ",Balcony Repairs and Railing Replacement,LYM Rentals L.P. c/o Minto Management Limited,Maresco Limited,Halsall Associates Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/FF8CD719-4FD1-4025-B549-09941D6E8549
"
  2011-04-28
",City of Toronto,"750 York Mills Road, Toronto ",Painting Concrete,LYM Rentals L.P. c/o Minto Management Limited,Maresco Limited,Halsall Associates Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/6E81E51B-9E50-4C26-82AF-6F32851DAEDC
"
  2011-04-28
",City of Ottawa,"100 Constellation Crescent, Ottawa, Ontario K2G 6J8 ","Contract No. ISB09-6022, Woodroffe Avenue Pedestrian Bridge for the following work; (i) all work related to the Bridge Structure specifically excluding the commissioning of the mechanical and electrical systems on the bridge and obtaining of the City of Ottawa occupancy permit for the Bridge Structure, (ii) all work related to the interior of the Building 'B'. The work related to the installation of the new hydro ducts is also specifically excluded from this Declaration",The City of Ottawa,Ellis Don,Gordon Armstrong and Associates,https://canada.constructconnect.com/dcn/certificates-and-notices/1B3A284B-0C00-4CDB-9007-A7FC28D463BB
"
  2011-04-28
",City of  St. Thomas,"Building G, 1063 Talbot Street, St. Thomas, Ontario ","Construction of new Staples Building G, 1063 Talbot Street, St. Thomas",Calloway Reit (St. Thomas) Inc.,Cambria Design Build,Turner Fleischer Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/05A0EEF9-C5E4-4E33-81DA-7624B36EE600
"
  2011-04-28
",City of Toronto,80 Playfair Avenue ,"Boiler, Pump and Control Replacement Dante Alighieri Catholic School",Toronto Catholic District School Board,The State Group Inc.,Sab Engineering Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/4719E29C-28D4-4BF1-B859-C9F04F996AF1
"
  2011-04-28
",City of Ottawa,1365 Bank Street ,Window & Door Replacement,Ottawa Community Housing Corporation,Lor-Issa Construction Inc.,IRC Batten Sears Group Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/37B24C13-237E-4960-B04D-E5044C05113C
"
  2011-04-28
",Town of Ajax,"381 Kerrison Drive East, Ajax,  ON ",Picov Ajax Downs Day Barns & Vet Barn,Ajax Downs Racetrack - A Division of Picov Downs Inc.,Century Group Inc.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/8E5BE534-6E07-45CC-971C-88AE14763034
"
  2011-04-28
",City of Toronto,"750 York Mills Road, Toronto ",Balcony Repairs and Railing Replacement,LYM Rentals L.P. c/o Minto Management Limited,Maresco Limited,Halsall Associates Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/6B92D7FD-CB79-41FF-838B-506CBA60156C
"
  2011-04-28
",Prince Edward County,"Sandbanks Provincial Park, RR #1, 3004 County Road 12, Picton, Ontario  K0K 2T0 ",Campsite Electrification Project Sandbanks Provincial Park,"Ontario Parks, Ministry of Natural Resources",Sisler Electric Inc.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/15D062FC-9C0F-423D-9753-314414CE66EF
"
  2011-04-28
",City of Toronto,"2 Bloor Street West, 4th Floor, Toronto, Ontario ",Interior Renovations,Oxford Properties,Tremton Construction Inc.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/75116FD0-FC08-4FD6-962E-930ED590F286
"
  2011-04-28
",City of Welland,"894 Niagara Street,  Welland, Ontario L3C 1M3 ",New Welland Toyota Dealership,George and Patricia Farlow,Timbro Design Build Contractors,Roy Timms,https://canada.constructconnect.com/dcn/certificates-and-notices/F4E8A776-17F7-466A-AC11-6C5DD686BD31
"
  2011-04-28
","Bon Echo Provincial Park, 16151 Hwy 41, Cloyne, ON K0H 1K0", ,Campsite Electrification of Midway and Fairground Campgrounds at Bon Echo Provincial Park OSS #00089943,"Ontario Parks, Ministry of Natural Resources",Sisler Electric Inc.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/5D4FD89E-CD24-4024-B494-75F2EEA10162
"
  2011-04-28
",Durham  Region,Clarington ,Electrical Distribution and Streetlighting,West Diamond Properties Ltd.,Robert B. Somerville,Nexgen Utilities,https://canada.constructconnect.com/dcn/certificates-and-notices/95D5BB61-3A4C-466C-A3F1-442185D002D7
"
  2011-04-28
",Peel Region,City of Brampton ,Underground Electrical Distribution Feeders and Switchgear for Hydro One Brampton Inc.,Mattamy (Credit River) Limited c/o Mattamy Development Co.,Transpower Utility Contractors Inc.,Colm Engineering Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/49003232-4980-425E-B861-5FC4356B99DD
"
  2011-04-28
",City of Toronto,"17 Farmstead Road, Toronto ",Painting Concrete on Balconies,LYM Rentals L.P. c/o Minto Management Limited,Maresco Limited,Halsall Associates Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/CB8B1A29-3CB1-499E-B7BA-75456F69A9BD
"
  2011-04-28
",City of  Ottawa,"2040 Ogilive Road, Ottawa, ON K1J 7N8 ",Gloucester Wave Pool Lap Pool Extension,City of Ottawa,Dalcon Enterprises Inc.,J.L. Richards & Associates Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/8658CFAF-F05B-4A67-A60A-8DFEBB380A82
"
  2011-04-28
",City of Mississauga,Heritage Maintenance &  Repairs at Three (3) Heritage Facilities ,Procurement # FA.49.923-10,City of Mississauga,Clifford Restoration Ltd.,Ian G. McGillivray,https://canada.constructconnect.com/dcn/certificates-and-notices/6D5ABE4D-FC47-4169-BD29-7542A46C572D
"
  2011-04-27
",Town of Richmond Hill,"45A West Wilmot Drive, Richmond Hill, ON ",Solar Electric System Installation,SunEdison LLC,Struct-Con Construction Ltd.,SunEdison LLC,https://canada.constructconnect.com/dcn/certificates-and-notices/85C4746C-CF89-4B1C-AA62-2D6A10A6C06C
"
  2011-04-27
","309 Argyle Street South, Caledonia, ON  N3W 1K7", ,Renovation to LCBO Store #268 Caledonia,"LCBO - Liquor Control Board of Ontario - 55 Lake Shore Blvd. East, Toronto, ON M5E 1A4",Weiscor Construction Services LTD.,Ivan Markoch,https://canada.constructconnect.com/dcn/certificates-and-notices/2E295DAC-4DD2-48B4-B8B2-1BD65F48C3C0
"
  2011-04-27
",MacLennan Township,"3259 Skead Road, Skead, Ontario P0M 2Y0 ","Contract No: UC704 ESS Electrical Installation 1220L Electrical Installation of all ESS components including Wireless AP unites, Demers brackets, fibre cable and all Electrical Gear",Xstrata Nickel Sudbury,SCR Mines Technology Inc.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/4C74FDAD-7BF0-4D0D-9411-B499D0B50B25
"
  2011-04-27
",MacLennan Township,"3259 Skead Road, Skead, Ontario P0M 2Y0 ","Contract No: UC704 ESS Electrical Installation 1680L Electrical Installation of all components on underground substation including Wireless AP's, Demers Brackets, and Fibre Cable",Xstrata Nickel Sudbury,SCR Mines Technology Inc.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/10FB2345-2D45-4D08-8D0C-A68840B476CB
"
  2011-04-27
",City of Toronto - Etobicoke York District,"399 The West Mall, Toronto, ON M9C 2Y2 ",Quotation No. 6032-08-0015 Snow Ploughing and Driveway Windrow Clearing on City of Toronto Roads - South - Etobicoke York District,City of Toronto,Steed & Evans Limited,"S. Kodama, Director, Transportation Services",https://canada.constructconnect.com/dcn/certificates-and-notices/5E1A3686-36C7-4A30-A856-6FFDDD4938C6
"
  2011-04-27
",City of Toronto - Etobicoke York District,"399 The West Mall, Toronto, ON M9C 2Y2 ","Quotation No. 6032-08-0164, Snow Ploughing and Driveway Windrow Clearing on City of Toronto Roads - South East - Etobicoke York District - Year 3",City of Toronto,VBN Paving Ltd.,"S. Kodama, Acting Director, Transportation Services",https://canada.constructconnect.com/dcn/certificates-and-notices/0A8CD118-602B-4644-8692-1FF2B2C827D8
"
  2011-04-27
",City of Ottawa,"Half Moon Bay Subdivision, Phase 5 &  6 ","Phase 5 Contract 2/3 AND Phase 6 Contract 2/3 - Underground Services and Roads (Up to CPR #5, dated January 31, 2011)",Mattamy (Half Moon Bay) Limited,Taggart Construction Limited,David Schaeffer Engineering Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/CFB100D2-974E-42CE-925D-203E2FC04192
"
  2011-04-27
",MacLennan Township,"3259 Skead Road, Skead, Ontario P0M 2Y0 ",Contract No: UC704 Electrical Installation of U/G Sub Stations 1445L Installation of all ESS components powered up and commissioning of the substation,Xstrata Nickel Sudbury,SCR Mines Technology Inc.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/68C786D1-DE3E-4D28-8922-9C8169C013C0
"
  2011-04-27
",City of Toronto,"Humber Treatment Plant, 130 The Queensway, Toronto, Ontario ",Contract 06FS-48WP Upgrade Waste Activated Sludge Thickening Facility,City of Toronto,TORBEAR Contracting Inc.,GENIVAR Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/09477FC4-1036-4AE2-8BBC-C38BD05F8571
"
  2011-04-27
",St. Catharines,"63 King Street, St. Catharines, Ontario L2R 3H6 ",Installation of Roof Anchors and Building Envelope Repairs,Bell Canada,Brook Restoration Ltd.,GENIVAR Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/AD5C978D-6060-4D56-A5AF-3A0D76EF56D7
"
  2011-04-27
",City of Kingston,"Front Rd. Trunk Water main Contract UK-10-07, Kingston, Ontario ","Work pertaining to the construction of trunk water main installation within the City of Kingston (Contract UK-10-07, Utilities Kingston)",Corp. of the City of Kingston,K. Mulrooney Trucking Ltd.,Utilities Kingston,https://canada.constructconnect.com/dcn/certificates-and-notices/A62E5FDD-73E2-4423-ACCF-72C891A7F9EB
"
  2011-04-27
","Ontario, Canada","801 Aviation Parkway, Ottawa ","95,000 sf, three storey addition to existing building A",La Cite Collegiale,Paul Daoust Construction and Associates Ltd.,"Thomas Leung, bbb architects",https://canada.constructconnect.com/dcn/certificates-and-notices/52B94125-9FF3-4484-8F5D-135AC91BDE87
"
  2011-04-27
",Frontenac County,Township of Central Frontenac ,new construction of a five unit mature living complex with common room,Central Frontenac Non Profit Housing Corporation,All Tech Consulting Group,All Tech Consulting Group,https://canada.constructconnect.com/dcn/certificates-and-notices/1E9325CE-4756-42DC-A2A5-DCD97C216D27
"
  2011-04-27
","North York, City of Toronto",15 and 25 Canyon Avenue ,Window and Door Replacement,Hanard Investments Limited,Fibertec Window and Door Mfg.,Halsall Associates Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/C03A4C8D-4014-4A8C-8234-680CA2FB789F
"
  2011-04-27
",Halton Region,Town of Milton ,Valery Developments Phase 1 - Contract II - Secondary Road Works,Valery Developments Inc./1356892 Ontario Inc.,Niran Construction Ltd.,"Urbantech Consulting, A Division of Leighton-Sytsma Ltd.",https://canada.constructconnect.com/dcn/certificates-and-notices/54215798-BC14-4584-98FD-D58F3F90F2DF
"
  2011-04-27
",Peel Region,City of Brampton ,"Transit Hub Precast Wall &, Cultural Amenity Space Perimeter Fencing",Mattamy (Credit River) Ltd.,Fencor Contracting Ltd.,NAK STLA Design Strategies,https://canada.constructconnect.com/dcn/certificates-and-notices/AAFF19A9-276E-4A5F-A262-2B6BA3869B4C
"
  2011-04-27
",City of Mississauga,"2360 Dixie Rd., Mississauga, ON  L4Y 1Z7 ",Interior Alterations & Roof Top Units,"Samuel, Son & Co. Ltd.",Abcott Construction Ltd.,Cianfrone Architect Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/193C898E-BCB4-4E60-84CF-C3B49293F644
"
  2011-04-27
",City of Toronto,1035 Pharmacy Avenue ,"Boiler, Pump and Control Replacement Precious Blood School",Toronto Catholic District School Board,The State Group Inc.,Sab Engineering Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/57C77BB1-F99B-4065-BDD5-BC0869E897C1
"
  2011-04-27
",Town of Innisfil, ,"Repairs to the sanitary sewer service laterals on Lebanon Drive Known as, Contract No. C-10-83",Town of Innisfil,Pennorth Group Limited,Ainley & Associates Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/AD1C9DEF-958F-4A15-BE87-6C196103DA14
"
  2011-04-27
","North Bay, Ontario","100D College Drive, North Bay, Ontario ",Nipissing University and Canadore College Library & Learning Centre,Nipissing University & Canadore College,Monteith Building Group Ltd.,Evans Bertrand Hill Wheeler Architecture Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/C5690979-833D-4B81-8A7A-1638C772C155
"
  2011-04-27
",MacLennan Township,"3259 Skead Road, Skead, Ontario P0M 2Y0 ","Contract No: UC704 ESS Electrical Installation 1595L Electrical Installation of all components on underground substation including Wireless AP's, Demers Brackets, and Fibre Cable",Xstrata Nickel Sudbury,SCR Mines Technology Inc.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/25F942CA-F95A-4F8A-BDF5-22A2BFEB361C
"
  2011-04-27
",Hastings County,"337 Hastings Rd. N., Bancroft, ON ",Interior Renovations,Sobeys Ontario Division,Above Board Construction,Craig Kelsey,https://canada.constructconnect.com/dcn/certificates-and-notices/24502283-877F-406B-841C-D136DD453B2D
