pub_date,city,address,title,owner,contractor,engineer
"
  2019-02-21
","York Region, Town of Richmond Hill","Part of Lot 56 Concession 1 East of Yonge Street (Geographic Township of Markham), All of Lot 14 and All of Block 16 (0.30m Reserve) Plan 65M-2217 and Part of Blocks 69,70,71,75 and All of Blocks 68, 73 and 74 Plan 65M-4192 Town of Richmond Hill, Regional Municipality of York ","Preparation, Grading and Sediment-Erosion Control Primont Homes (Bayview) Inc. Town of Richmond Hill, Region of York",Primont Homes (Bayview) Inc.,Blue Star Construction Corp.,Masongsong Associates Engineering Limited
"
  2019-02-21
",Notice of Intention to Register a Condominium,"Address for service: Treviso Phase 3 - 3091 Dufferin St, Toronto, ON M6A 0C4 ","Notice of Intention to Register a Condominium under Subsection 33.1 of the Construction Act (Form 11)Name of declarant:    Duflaw Realty Ltd. Concise overview of the land:  In the City of Toronto, formerly in the City of North York, and in the Province of Ontario being comprised of Part of Block 1 on Registered Plan 66M-2522, designated as PARTS 6 and 7 on Plan 66R-28834. (being All of P.I.N. 10230-0244 (LT)).
",nan,Guardtek Systems Inc.,nan
"
  2019-02-21
",Notice of Intention to Register a Condominium,"Address for service: 12 & 16 BONNYCASTLE STREET, TORONTO ONTARIO ","Notice of Intention to Register a Condominium under Subsection 33.1 of the Construction Act (Form 11)Name of declarant:   GREAT GULF (DOWNTOWN PROPERTIES) LTD. Concise overview of the land:  PART OF LOT 12 ON PLAN 694E DESIGNATED AS PART 1 ON PLAN 66R29730; PART OF LT 12 PLAN E694 DESIGNATED AS PART 4 ON REFERENCE PLAN 66R-24081; PART OF LOT 12 ON PLN 694E DESIGNATED AS PART 5 ON PLN 66R24081; PART OF LOT 12 ON PLN 694E DESIGNATED AS PART 6 ON PLN 66R24081; PART OF PRINCESS STREET (NOW BONYCASTLE STREET) ON PLAN 666E AS CLOSED BY CITY OF TORONTO BY-LAW 199-2010 AS AT2323750 DESIGNATED AS PART 2 ON PLAN 66R29730 SUBJECT TO AN EASEMENT OVER PARTS 4,5&6 66R24081 AS IN AT4411511 SUBJECT TO AN EASEMENT AS IN AT4859480 SUBJECT TO AN EASEMENT AS IN AT5010033 SUBJECT TO AN EASEMENT IN GROSS OVER PART OF LOT 12 ON PLAN 694E DESIGNATED AS PARTS 13, 14, 15, 16 AND 17 ON PLAN 66R30487 AS IN AT5051877 CITY OF TORONTO as more particularly set out in PIN 21384-0237 (LT)
",nan,ENBRIDGE INC.,nan
"
  2019-02-21
",Central Region,This is to certify that the contract for the following improvement: Contract # 2018-2009 Port Union Road and Kingston Road Commuter Carpool Lot ,,Her Majesty The Queen in Right of Ontario as represented by the Minister of Transportation,Coco Paving,nan
"
  2019-02-21
",City of Brantford,"100 Wellington Square, P.O. Box 818, Brantford, Ontario N3T 5R7 ",RFT 15-114 - 2018 Sewer Lining Program,The Corporation of the City of Brantford,Pipeflo Contracting Corporation,The Corporation of the City of Brantford
"
  2019-02-21
",City of Burlington,"Unit M34 - 777 Guelph Line, Burlington - ON - L7R 3N2 ",Interior Alteration,"Five Star North America, LP",Build It By Design,nan
"
  2019-02-21
",City of Cambridge,"1225 Franklin Blvd, Cambridge ON N1R 7E5 ",Mezzanine Offices Renovation,1333991 Ontario Limited,Built By Engineers Construction Inc.,Uel McFall
"
  2019-02-21
",City of Hamilton,"1967 Main Street, Unit 21, Hamilton, Ontario L8S 4P4 ",Slab on Grade Replacement,WCC No. 70 c/o Wilson Blanchard Management,Enable Contracting Inc.,WSP Canada Inc.
"
  2019-02-21
",City of Hamilton,This is to certify that the contract for the following improvement: Contract No. C13-67-17 Sewer Lateral - Public Portion repairs and replacements at various locations within the City of Hamilton ,,The City of Hamilton,"714794 Ontario Limited, O/A LM Enterprises",Kevin Adams
"
  2019-02-21
",City of Ottawa,"350 Sparks Street, Ottawa, Ontario ","Renovation of Hilton Garden Inn and Homewood Suites By Hilton - Aluminum Entrances, Window Walls, Punch Windows, Storefronts",Morguard Corporation,Skyguard Highrise Windows & Doors,Chamberlain Construction Services Limited
